variable,tertile,tertile_label,n_cordon,n_rest,mean_cordon_pct,mean_rest_pct,gap_pp,gap_ci_lo,gap_ci_hi,tertile_q1,tertile_q2
median_hh_income,1,Lower income,3,84,-4.947619940712221,-2.6307565936222765,-2.316863347089945,-3.020984598372937,-1.561816602682938,78385.45244829422,111204.74950403065
median_hh_income,2,Mid-range,4,81,-5.9033244337003925,-3.0587102502345593,-2.844614183465833,-3.4967703545851205,-2.160533901980972,78385.45244829422,111204.74950403065
median_hh_income,3,Higher income,30,57,-5.435439865580461,-4.519166365435113,-0.9162735001453486,-1.785934945247792,-0.06667023874568696,78385.45244829422,111204.74950403065
pct_no_vehicle,1,Most cars,0,87,,-3.769206950590777,,,,0.38079759071265645,0.6935467075697351
pct_no_vehicle,2,Mid-range,1,84,-5.511922731761508,-4.067307635027751,-1.4446150967337568,-2.015934019529751,-0.8532015692238534,0.38079759071265645,0.6935467075697351
pct_no_vehicle,3,Most car-free,36,51,-5.444650855349738,-1.1128768807714382,-4.3317739745783,-4.972962257982936,-3.661607927974275,0.38079759071265645,0.6935467075697351
pct_transit_commute,1,Least transit,15,72,-5.350713300207727,-4.285876359110208,-1.0648369410975187,-1.9728811136156537,-0.1118080946837301,0.35900640245740917,0.48158499756273915
pct_transit_commute,2,Mid-range,19,66,-5.531617232170069,-3.684064453657303,-1.8475527785127657,-2.5754504943091017,-1.061589989638474,0.35900640245740917,0.48158499756273915
pct_transit_commute,3,Most transit,3,84,-5.385975536668293,-2.0785739900685116,-3.3074015465997815,-4.193052965232558,-2.442601869928874,0.35900640245740917,0.48158499756273915
