month,cordon_umol_m2,rest_umol_m2,cordon_n_pixels,rest_n_pixels
2023-01,128.8074,127.6504,24,817
2023-02,145.4833,145.0174,24,817
2023-03,137.8805,135.5307,24,817
2023-04,177.1540,154.3303,24,817
2023-05,146.9972,127.2994,24,817
2023-06,120.0636,90.8757,24,817
2023-07,142.0158,107.9725,24,817
2023-08,106.9251,90.8801,24,817
2023-09,156.7280,130.4159,24,817
2023-10,251.7503,197.5937,24,817
2023-11,204.0636,202.8526,24,817
2023-12,219.4370,192.3200,24,817
2024-01,193.0122,164.5057,24,817
2024-02,222.0444,183.6389,24,817
2024-03,174.4690,151.9262,24,817
2024-04,163.3424,143.5966,24,817
2024-05,134.9396,118.7978,24,817
2024-06,125.8112,98.4044,24,817
2024-07,128.0818,89.8391,24,817
2024-08,151.1114,112.6809,24,817
2024-09,152.3921,114.3633,24,817
2024-10,179.9680,162.4775,24,817
2024-11,142.8486,147.9279,24,817
2024-12,179.5661,187.2386,24,817
2025-01,138.4871,144.6352,24,817
2025-02,125.7249,136.6797,24,817
2025-03,167.9098,150.6834,24,817
2025-04,142.2514,137.4242,24,817
2025-05,136.4858,102.8702,24,817
2025-06,154.1521,125.9180,24,817
2025-07,127.4459,91.2718,24,817
2025-08,124.0440,94.6932,24,817
2025-09,133.9703,112.7577,24,817
2025-10,148.2819,125.2716,24,817
2025-11,154.0893,146.0581,24,817
2025-12,185.8963,184.2298,24,817
2026-01,205.5759,203.4173,24,817
2026-02,254.8591,226.8215,24,817
2026-03,171.4510,136.9768,24,817
2026-04,170.7644,140.5939,24,817
